#,单词,音标,解释,笔记
1209,"demystify","英:/diː'mɪstɪfaɪ/ 美:/ˌdi'mɪstɪfaɪ/","vt. 使非神秘化

时 态:  
demystified, demystifying, demystifies 

名 词:  
demystification",
1210,"externalize","英:/ɪk'stɜːn(ə)laɪz/ 美:/ɪkˈstɚnəˌlaɪz/","vt. 给…以外形,使客观化,使具体化

时 态:  
externalized, externalizing, externalizes 

名 词:  
externalization",
1211,"perspicuous","英:/pə'spɪkjʊəs/ 美:/pɚˈspɪkjuəs/","- adj. 说话清楚的
- 明白易懂的

副 词:  
perspicuously",
1212,"subsist","英:/səb'sɪst/ 美:/səb'sɪst/","- vi. 存在；维持生活
- vt. 供养


时 态:  
subsisted, subsisting, subsists",
1213,"subsistence","英:/səb'sɪst(ə)ns/ 美:/səb'sɪstəns/","n. 存活, 生存, 维生之道

形容词:  
subsistent",
1214,"aptitude","英:/'æptɪtjuːd/ 美:/'æptə'tʊd/","n. 自然倾向；天资；适宜",
1215,"befitting","英:/bɪ'fɪtɪŋ/ 美:/bɪˈfɪtɪŋ/","adj. 适合的,合适的,适当的

副 词:  
befittingly",
1216,"behoove","英:/bɪ'huːv/ 美:/bɪˈhuv/","- vt. 理应；对…有此必要
- vi. 有必要；理所当然
- n. 适宜


时 态:  
behooved, behooving, behooves",
1217,"mistimed","英:/ˌmis'taimd/ 美:/ mɪsˈtaɪmd/","- adj. 不合时机的
- v. 在不适当的时候做（mistime的过去分词）",
1218,"unbecoming","英:/ʌnbɪ'kʌmɪŋ/ 美:/ˌʌnbɪ'kʌmɪŋ/","adj. 不合身的; 不相配的; 难看的",
1219,"seasonable","英:/'siːz(ə)nəb(ə)l/ 美:/'siznəbl/","- adj. 合时令的
- 及时的,合时宜的
- n. 合时,及时
- adv. 合时地,及时地

副 词:  
seasonably",
1220,"inexpedient","英:/ɪnɪk'spiːdɪənt/ 美:/ˌɪnɪk'spidɪənt/","- adj. 不妥当的;不适当的;不明智的
- n. 不妥当;不明智
- adv. 不妥当地;不适当地;不明智地",
1221,"defunct","英:/dɪ'fʌŋ(k)t/ 美:/dɪ'fʌŋkt/","- adj. 非现存的；死的
- n. 死者


形容词:  
defunctive",
1222,"obituary","英:/ə(ʊ)'bɪtʃʊərɪ/ 美:/o'bɪtʃuɛri/","- adj. 死亡的；讣告的
- n. 讣告


形容词:  
obituary",
1223,"hereafter","英:/hɪər'ɑːftə/ 美:/'hɪr'æftɚ/","adv. 今后,从此以后",
1224,"knell","英:/nel/ 美:/nɛl/","- n. 丧钟声
- 某事物结束的象征

时 态:  
knelled, knelling, knells",
1225,"bereavement","英:/bɪˈri:vmənt/ 美:/bɪ'rivmənt/","n. 亲人丧亡；丧失亲人,丧亲之痛",
1226,"adventitious","英:/ˌædv(ə)n'tɪʃəs/ 美:/ˌædvɛn'tɪʃəs/","- adj. 偶然的
- 外来的，外加的，附加的，非内在的
- 后天的，非先天性的
- 偶生的，不定的，出现于异常部位的
- (财产)偶然获得的；非继承的",
1227,"contingent","英:/kən'tɪndʒ(ə)nt/ 美:/kən'tɪndʒənt/","adj. 偶然（发生）的；（损失、责任等）附带的；以事实为依据的；依情况而变的
n. （代表某一组织或国家的）代表团；（军队的）分遣队

副 词:  
contingently",
1228,"haphazard","英:/hæp'hæzəd/ 美:/'hæphæzəd/","adj. 偶然的, 随意的, 无计划的

副 词:  
haphazardly",
1229,"roundabout","英:/'raʊndəbaʊt/ 美:/'raʊndəbaʊt/","- n. 绕行路线, 绕道, 环状交叉路
- adj. 绕道的, 不直截了当的",
1230,"imperil","英:/ɪm'perɪl/ 美:/ɪm'pɛrəl/","vt. 使陷于危险, 危及

时 态:  
imperiled, imperilled 
imperiling, imperilling 
imperils, imperils",
1231,"parlous","英:/'pɑːləs/ 美:/ˈpɑrləs/","adj. 危险的;不确定的;难对付的",
1232,"inure","英:/ɪ'njʊə/ 美:/ɪnˈjʊr/","- vt. 使…习惯；使…适应
- vi. 适用；起作用；有助于


时 态:  
inured, inuring, inures 

名 词:  
inurement",
1233,"mores","英:/'mɔːreɪz/ 美:/'mɔrez/","n. 习惯，习俗；道德观念；风俗",
1234,"antithesis","英:/æn'tɪθəsɪs/ 美:/æn'tɪθəsɪs/","- n. 对立；对立面
- 对照
- 对偶",
1235,"demure","英:/dɪ'mjʊə/ 美:/dɪ'mjʊr/","adj. 严肃的；端庄的；娴静的；假装正直的


比较级:  
demurer, demurest 

副 词:  
demurely",
1236,"dour","英:/'dʊə/ 美:/'daʊr/","adj. 严厉的；顽强的；阴沉的；不爱讲话的


比较级:  
dourer, dourest 

副 词:  
dourly",
1237,"congruous","英:/'kɒŋgrʊəs/ 美:/ˈkɑŋɡruəs/","adj. 适合的;适当的

副 词:  
congruously",
1238,"tally","英:/'tælɪ/ 美:/'tæli/","- n. 标签；记账；计数器
- vt. 计算；记录；使符合
- vi. 一致；记分",
1239,"counterbalance","英:/'kaʊntə,bæl(ə)ns/ 美:/ˌkaʊntɚ'bæləns/","- vt. 对…起平衡作用；抵消
- n. 抗衡 (力)；平衡力

时 态:  
counterbalanced，counterbalancing，counterbalances",
1240,"counterpoise","英:/'kaʊntəpɒɪz/ 美:/'kaʊntɚ,pɔɪz/","- vt. 平均,平衡,使平衡
- n. 秤锤,平衡

时 态:  
counterpoised, counterpoising, counterpoises",
1241,"equipoise","英:/'ekwɪpɒɪz/ 美:/ˈikwəˌpɔɪz/","n. 平衡,均衡",
1242,"dysfunctional","","dys·func·tion·alBrE /dɪsˈfʌŋkʃənl/NAmE /dɪsˈfʌŋkʃənl/ adjective (specialist) not working normally or properly 机能失调的；功能障碍的◆children from dysfunctional families有缺陷家庭的子女 dys·func·tionBrE /dɪsˈfʌŋkʃn/NAmE /dɪsˈfʌŋkʃn/ noun [U, C] (medical 医学) the fact of a part of the body not working normally （身体）功能障碍◆He's suffering from sexual dysfunction caused by depression.  他因抑郁而患上性功能障碍。🔊🔊the situation when the relationships within a society, family, etc. are not working normally （社会、家庭等内部的）关系失衡◆a tale of loneliness and family dysfunction一个关于孤独与家庭关系失衡的故事",
1243,"unearthly","英:/ʌn'ɜːθlɪ/ 美:/ʌn'ɝθli/","- adj. 超自然的；神秘的；可怕的
- 早得或不便得离谱的；荒谬的

比较级:  
unearthlier，unearthliest 

名 词:  
unearthliness",
1244,"dalliance","英:/'dælɪəns/ 美:/'dælɪəns/","- n. 嬉戏;戏弄
- 调情;调戏",
1245,"debauchery","英:/dɪ'bɔːtʃ(ə)rɪ/ 美:/dɪ'bɔtʃəri/","- n. 道德败坏,淫荡
- 放荡,淫逸",
1246,"promenade","英:/ˌprɒmə'nɑːd/ 美:/ˌprɑmə'ned/","- n. 人行道；散步场所
- 散步；闲逛

时 态:  
promenaded，promenading，promenades 

名 词:  
promenader",
1247,"traipse","英:/treɪps/ 美:/treps/","- v. 漫步，拖曳；在…游荡，走过
- n. 闲逛，长途跋涉

时 态:  
traipsed，traipsing，traipses",
1248,"vagrancy","英:/'veɪgr(ə)nsɪ/ 美:/'veɡrənsi/","n. (说话的,思想的)游移不定,漂泊,流浪,离题",
1249,"vegetate","英:/'vedʒɪteɪt/ 美:/'vɛdʒətet/","- vi. 生长；植物似地生长；茫茫然地过日子
- vt. 将植物种在


时 态:  
vegetated, vegetating, vegetates",
1250,"indubitable","英:/ɪn'djuːbɪtəb(ə)l/ 美:/ɪnˈdubɪtəbəl/","adj. 不容置疑的,明确无疑的

副 词:  
indubitably",
1251,"unexceptionable","英:/ʌnɪk'sepʃ(ə)nəb(ə)l/ 美:/'ʌnɪk'sɛpʃənəbl/","adj. 完全满意的, 无懈可击的",
1252,"chasten","英:/'tʃeɪs(ə)n/ 美:/'tʃesn/","- vt. 惩罚(某人)(使之改正或改进)；惩戒
- 遏制(某人)；制止
- 净化

时 态:  
chastened，chastening，chastens 

名 词:  
chastener",
1253,"checkered","英:/'tʃekəd/ 美:/'tʃɛkəd/","adj. 多变的",
1254,"emend","英:/ɪ'mend/ 美:/ɪ'mɛnd/","vt. 校订,修改

时 态:  
emended, emending, emends",
1255,"kaleidoscopic","英:/kəˌlaɪdəˈskɔpɪk/ 美:/kə,laɪdə'skɑpɪk/","adj. 万花筒似的;千变万化的",
1256,"mend","英:/mend/ 美:/mɛnd/","- vt. 修理，修补；改善；修改
- vi. 改善，好转
- n. 好转，改进；修补处


时 态:  
mended, mending, mends 

形容词:  
mendable

名 词:  
mender",
1257,"recast","英:/riː'kɑːst/ 美:/ˌri'kæst/","- vt. 再铸
- 重塑，改造；改正；改作
- 改进(安排)
- n. 重铸(物)
- 重新塑造(物)

时 态:  
recast，recasting，recasts",
1258,"reclaim","英:/rɪ'kleɪm/ 美:/rɪ'klem/","- vt. 要求收回
- 开拓(荒地)；开垦
- 从废料中回收(有用的材料)
- 纠正；教化，改造

时 态:  
reclaimed，reclaiming，reclaims 

形容词:  
reclaimable",
1259,"redress","英:/rɪ'dres/ 美:/rɪ'drɛs/","- vt. 纠正；赔偿；救济；重新调整
- n. 赔偿；矫正；救济


时 态:  
redressed, redressing, redresses",
1260,"reshuffle","英:/riː'ʃʌf(ə)l/ 美:/ˌri'ʃʌfl/","- vt. 对(某集体)作岗位或职责的调整,改组(某集团)
- vt. & vi. 重新洗(牌)
- n. 改组(尤指政治组织)

时 态:  
reshuffled, reshuffling, reshuffles 

名 词:  
reshuffle",
1261,"transmute","英:/trænz'mjuːt/ 美:/trænz'mjut/","vt. 使变形, 使变质, 把…变成…

时 态:  
transmuted, transmuting, transmutes 

形容词:  
transmutable

名 词:  
transmuter",
1262,"upheaval","英:/ʌp'hiːv(ə)l/ 美:/ʌp'hivl/","n. 剧变；隆起；举起",
1263,"remodel","英:/riː'mɒd(ə)l/ 美:/ˌri'mɑdl/","vt. 改造；改变；改型

时 态:  
remodeled also remodelled 
remodeling remodelling 
 remodels remodels",
1264,"rejuvenate","英:/rɪ'dʒuːvəneɪt/ 美:/rɪ'dʒuvənet/","vt. 使变得年轻, 使恢复活力

时 态:  
rejuvenated, rejuvenating, rejuvenates 

名 词:  
rejuvenation

名 词:  
rejuvenator",
1265,"renascent","英:/rɪ'næs(ə)nt/ 美:/rɪ'nesənt/","- adj. 新生的
- 再生的,复兴的",
1266,"resurge","英:/riˈsə:dʒ/ 美:/ri'sɝdʒ/","v. 复活

时 态:  
resurged, resurging, resurges",
1267,"reversion","英:/rɪ'vɜːʃ(ə)n/ 美:/rɪ'vɝʒən/","- n. 恢复,复原
- 继承权,未来所有权",
1268,"throwback","英:/'θrəʊbæk/ 美:/'θrobæk/","n. 掷回,挫折,阻止,大倒退,返祖",
1269,"diminuendo","英:/dɪ,mɪnjʊ'endəʊ/ 美:/dɪ,mɪnju'ɛndo/","- n. 渐弱
- adv. & adj. 渐弱地(的)",
1270,"dock","英:/dɒk/ 美:/dɑk/","- n. 船坞；码头；被告席；尾巴的骨肉部分
- vt. 剪短；使靠码头
- vi. 入船坞


时 态:  
docked, docking, docks",
1271,"pare","英:/peə/ 美:/pɛr/","vt. 削皮；剪；修掉（边等）；消减


时 态:  
pared, paring, pares 

名 词:  
parer",
1272,"permute","英:/pə'mjuːt/ 美:/pɚ'mjʊt/","vt. 交换；变更；[数]排列


时 态:  
permuted, permuting, permutes 

名 词:  
permutability

形容词:  
permutable",
1273,"relent","英:/rɪ'lent/ 美:/rɪ'lɛnt/","- vi. 变温和，变宽厚；减弱；缓和
- vt. 使变温和；减轻
- v. 再借给（relend的过去分词）


时 态:  
relented, relenting, relents",
1274,"relenting","","re·lentBrE /rɪˈlent/NAmE /rɪˈlent/ verbpresent simple - I / you / we / they relent BrE /rɪˈlent/ NAmE /rɪˈlent/present simple - he / she / it relents BrE /rɪˈlents/ NAmE /rɪˈlents/past simple relented BrE /rɪˈlentɪd/ NAmE /rɪˈlentɪd/past participle relented BrE /rɪˈlentɪd/ NAmE /rɪˈlentɪd/ -ing form relenting BrE /rɪˈlentɪŋ/ NAmE /rɪˈlentɪŋ/ (formal)  [I] to finally agree to sth after refusing 终于答应；不再拒绝 SYN  give in (to sb/sth) ◆'Well, just for a little while then,' she said, finally relenting.  “好吧，不过只能待一会儿。” 她最后终于答应了。🔊🔊 [I] to become less determined, strong, etc. 变缓和；变温和；减弱◆After two days the rain relented.  两天后，雨势减弱了。🔊🔊◆The police will not relent in their fight against crime.  警方将继续严厉打击犯罪活动。🔊🔊",
1275,"bate","/beɪt/","- vt. 压制，屏息，压低；减少
- 减轻，抑制，削弱
- 减去
- 使软化
- vi.  减少，减弱；衰落，变弱
- n. (制革用的)软化剂

时 态:  
bated，bating，bates",
1276,"elongate","英:/'iːlɒŋgeɪt/ 美:/ɪˈlɔŋˌɡet/","- vt. 拉长；使延长；使伸长
- vi. 拉长；延长；伸长
- adj. 伸长的；延长的


时 态:  
elongated, elongating, elongates",
1277,"accrete","英:/ə'kriːt/ 美:/əˈkrit/","- vi. 增大生长；合生；依附
- vt. 使依附；使连接；把…吸引过来
- adj. 合生的；增积的


时 态:  
accreted, accreting, accretes",
1278,"upswing","英:/'ʌpswɪŋ/ 美:/'ʌpswɪŋ/","- n. 向上摆动；上升；增加
- vi. 向上摆动；提高；回升",
1279,"wax","英:/wæks/ 美:/wæks/","- n. 蜡；蜡状物
- vt. 给…上蜡
- vi. 月亮渐满；增大
- adj. 蜡制的；似蜡的


时 态:  
waxed, waxing, waxes",
1280,"cataclysm","英:/'kætə,klɪz(ə)m/ 美:/'kætəklɪzəm/","n. (突然降临的)大灾难

形容词:  
cataclysmic",
1281,"tribulation","英:/ˌtrɪbjʊ'leɪʃ(ə)n/ 美:/ˌtrɪbju'leʃən/","n. 苦难；磨难；忧患",
1282,"untoward","英:/ʌntə'wɔːd/ 美:/ʌn'tɔrd/","adj. 不幸的；麻烦的；倔强的；困难的",
1283,"tickler","英:/'tɪklə/ 美:/'tɪklɚ/","n. 难题；使人痒的东西或人；备忘录；使人高兴的人或物",
1284,"nag","英:/næg/ 美:/næɡ/","- n. 老马；竞赛马；唠叨
- vt. 使烦恼；不断地唠叨
- vi. 不断地唠叨


时 态:  
nagged, nagging, nags 

名 词:  
nagger",
1285,"tedium","英:/'tiːdɪəm/ 美:/'tidɪəm/","n. 单调乏味；沉闷；厌烦",
1286,"discomfiture","英:/dɪs'kʌmfɪtʃə/ 美:/dɪsˈkʌmfɪˌtʃʊr/","- n. 崩溃;大败;挫败
- 困惑;狼狈",
1287,"corny","英:/'kɔːnɪ/ 美:/'kɔrni/","adj. 平淡的；过时的，陈旧的

比较级:  
cornier，corniest 

副 词:  
cornily

名 词:  
corniness",
1288,"lackadaisical","英:/ˌlækə'deɪzɪk(ə)l/ 美:/ˌlækə'dezɪkl/","- adj. 无精打采的;不决断的;不热心的
- adv. 无精打采地;不决断地;不热心地",
1289,"debility","英:/dɪ'bɪlɪtɪ/ 美:/dɪ'bɪləti/","n. 衰弱，虚弱；无活力",
1290,"enfeeble","英:/ɪn'fiːb(ə)l/ 美:/ɛnˈfibəl/","vt. 使衰弱；使无力

Enfeeblevt. 使衰弱

时 态:  
enfeebled, enfeebling, enfeebles 

名 词:  
enfeeblement",
1291,"flagging","英:/'flægiŋ/ 美:/ˈflæɡɪŋ/","- adj. 下垂的；衰弱的
- n. 石板路；铺砌石板
- v. 悬旗于（flag的现在分词）",
1292,"forlorn","英:/fə'lɔːn/ 美:/fɚ'lɔrn/","- adj. 孤立无助的,凄凉的,被遗弃的
- 被弃置的,荒凉的",
1293,"moodiness","/'mu:dinis/","n. 喜怒无常,闷闷不乐",
1294,"disconsolate","英:/dɪs'kɒns(ə)lət/ 美:/dɪs'kɑnsələt/","adj. 孤独的,郁郁不乐的

副 词:  
disconsolately",
1295,"defalcate","英:/'diːfælkeɪt/ 美:/dɪ'fælket/","vi. 盗用公款,挪用公款,贪污

时 态:  
defalcated, defalcating, defalcates 

名 词:  
defalcation

名 词:  
defalcator",
1296,"filch","英:/fɪltʃ/ 美:/fɪltʃ/","vt. 偷(尤指小的或不贵重的物品)

时 态:  
filched, filching, filches 

名 词:  
filcher",
1297,"peculate","英:/'pekjʊleɪt/ 美:/ˈpɛkjəˌlet/","- vi. 盗用，挪用（公款等）
- vt. 盗用，挪用（公款等）


时 态:  
peculated, peculating, peculates 

名 词:  
peculation

名 词:  
peculator",
1298,"snitch","英:/snɪtʃ/ 美:/snɪtʃ/","- vi. 告密；进行小偷小摸
- vt. 偷；顺手牵羊
- n. 告密者；告发者


时 态:  
snitched, snitching, snitches 

名 词:  
snitcher",
1299,"misdemeanor","英:/ˌmɪsdɪˈmi:nə/ 美:/ˌmɪsdɪ'minɚ/","- n. 不法行为
- (相对于重罪的)轻罪,小罪",
1300,"footle","英:/'fuːt(ə)l/ 美:/ˈfutl../","- vi. 做笨事；说呆话；浪费时间
- n. 呆话；傻事
- adj. 无价值的；不重要的


时 态:  
footled, footling, footles",
1301,"profuse","英:/prə'fjuːs/ 美:/prə'fjus/","adj. 毫不吝惜的,慷慨的,挥霍的,浪费的

副 词:  
profusely

名 词:  
profuseness",
1302,"splurge","英:/splɜːdʒ/ 美:/splɝdʒ/","- vi. 卖弄；挥霍
- n. 炫耀；挥霍
- vt. 挥霍；夸耀


时 态:  
splurged, splurging, splurges 

形容词:  
splurgy",
1303,"expropriate","英:/ɪks'prəʊprɪeɪt/ 美:/ɛks'proprɪet/","- vt. 没收(财产),征用
- 剥夺…的所有权

时 态:  
expropriated, expropriating, expropriates 

名 词:  
expropriation

名 词:  
expropriator",
1304,"sequestrate","英:/'siːkwəstreɪt/ 美:/'sikwəstret/","- vt. 没收,接收
- 扣押(债务人的房产等)

时 态:  
sequestrated, sequestrating, sequestrates",
1305,"arrogate","英:/'ærəgeɪt/ 美:/'ærəɡet/","vt. 冒称；霸占；没来由地将…归属于


时 态:  
arrogated, arrogating, arrogates 

名 词:  
arrogation",
1306,"bereave","英:/bɪ'riːv/ 美:/bɪ'riv/","vt. 使……失去；使……孤寂


时 态:  
bereaved, bereft  
bereaving, bereaves 

名 词:  
bereavement",
1307,"bereft","英:/bɪˈreft/ 美:/bɪ'rɛft/","- adj. 丧失的；被剥夺的；失去亲人的
- v. 失去…的（bereave的过去式）",
1308,"depredation","英:/ˌdeprɪ'deɪʃ(ə)n/ 美:/ˌdɛprə'deʃən/","n. 掠夺；破坏，破坏痕迹",
1309,"despoil","英:/dɪ'spɒɪl/ 美:/dɪ'spɔɪl/","vt. 掠夺，剥夺；夺取


时 态:  
despoiled, despoiling, despoils 

名 词:  
despoilment",
1310,"disfranchise","英:/dɪs'fræn(t)ʃaɪz/ 美:/dɪsˈfrænˌtʃaɪz/","vt. 剥夺…公民权；剥夺…的权利

时 态:  
disfranchised，disfranchising，disfranchises 

名 词:  
disfranchisement",
1311,"divest","英:/daɪ'vest/ 美:/daɪ'vɛst/","- vt. 脱去(衣服)
- 剥夺
- 1.(给某人)脱衣服
- 2.从…取去…
- 3.丟弃，拋弃(不需要或无用的东西)

时 态:  
divested, divesting, divests 

名 词:  
divestment",
1312,"divestiture","英:/daɪ'vestɪtʃə/ 美:/dɪ'vɛstɪtʃɚ/","- n. 脱去(衣服)
- 剥夺财产或权利;夺去称号",
1313,"encroach","英:/ɪn'krəʊtʃ/ 美:/ɪnˈkroʊtʃ/","- vi. 侵犯；侵占；侵害
- 妨碍(正常生活或活动等)
- 逐渐遍布(某地区)

时 态:  
encroached，encroaching，encroaches 

名 词:  
encroachment",
1314,"extirpation","/ˌekstə:'peiʃən/","n. 消灭，根除；毁灭",
1315,"maraud","英:/mə'rɔːd/ 美:/məˈrɔd/","- vt. 掠夺；袭击
- vi. 袭击
- n. 掠夺；袭击


时 态:  
marauded, marauding, marauds 

名 词:  
marauder",
1316,"plunder","英:/'plʌndə/ 美:/'plʌndɚ/","- vt. & vi. 掠夺；抢劫
- n. 掠夺(物)
- 赃物

时 态:  
plundered，plundering，plunders 

形容词:  
plunderable

名 词:  
plunderer

形容词:  
plunderous",
1317,"sack","英:/sæk/ 美:/sæk/","- n. 麻袋, 包
- 一袋的量
- 开除, 解雇
- 洗劫, 劫掠
- vt. 装入袋中
- 解雇
- 洗劫, 劫掠

时 态:  
sacked, sacking, sacks",
1318,"scramble","英:/'skræmb(ə)l/ 美:/'skræmbl/","- vi. 快速爬行，匍匐前进；攀登
- 争夺，争抢
- (军事飞机)紧急起飞
- vt. (用黄油)炒蛋
- 扰频或倒频使(电话通话等)只可由有特殊接收器的人收听
- 混杂；把…搅乱
- n. 爬行，攀登
- 争夺，抢夺

时 态:  
scrambled，scrambling，scrambles",
1319,"encroachment","英:/ɪnˈkrəʊtʃmənt/ 美:/ɪn'krotʃmənt/","n. 侵入，侵占；侵蚀",
1320,"bamboozle","英:/bæm'buːz(ə)l/ 美:/bæm'buzl/","vt. 欺骗；使迷惑

时 态:  
bamboozled，bamboozling，bamboozles  

名 词:  
bamboozlement",
1321,"chisel","英:/'tʃɪz(ə)l/ 美:/'tʃɪzl/","- vt. 欺骗；凿；雕，刻
- vi. 欺骗；凿；雕，刻
- n. 凿子


时 态:  
chiseled, chiselled 
chiseling, chiselling 
chisels, chisels  

名 词:  
chiseler",
1322,"decoy","英:/'diːkɒɪ/ 美:/'dikɔɪ/","- n. (用于诱捕鸟兽的)动物(或仿制物)
- 用于引诱某人落入圈套的人或物
- vt. 用诱饵诱骗(某人或动物)落入圈套

时 态:  
decoyed, decoying, decoys",
